Nom de la manifestation,Région,Domaine,Complément domaine,Département,Périodicité,Mois habituel de début,Site web,N° Identification,Commune principale,Autres communes,N° de l'édition 2018,Date de début,Date de fin,Date de création,Soutenu en 2017 par le ministère de la culture ,Soutenu en 2017 par le Centre national du cinéma ,Soutenu en 2017 par le Centre national du livre ,Soutenu en 2017 par le Centre national des variétés ,Soutenu en 2018 par le ministère de la culture ,Soutenu en 2018 par le Centre national du cinéma ,Soutenu en 2018 par le Centre national du livre ,Soutenu en 2018 par le Centre national des variétés ,Code postal,Code INSEE,coordonnees_insee,Libellé commune pour calcul CP,,,,,,,,,
JACQUES A DIT,Provence-Alpes-Côte d'Azur,Pluridisciplinaire Spectacle vivant,,6,Annuelle,09 (septembre),http://forumcarros.com/,MB020,CARROS,Saint Jeannet,,,,,,,,,,,,,,,,,,,,,,,,,
JAZZ EN TOURAINE,Centre-Val de Loire,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALZ'ART,Centre-Val de Loire,Musiques actuelles,,45,Annuelle,09 (septembre),https://mairie-fayauxloges.fr/culture/155:falz-art,DD058,FAY AUX LOGES,,7,,,1/1/2012,,,,,,,,,45450,45142,47.93260073,,,,,,,,,,
VACH DE ROCK,Grand Est,Musiques actuelles,,54,Annuelle,09 (septembre),www.vachderock.fr,FD099,Jeandelaincourt,,10,,,1/1/2009,,,,,,,,,54114,54276,48.84652585,,,,,,,,,,
Les Photaumnales de Beauvais,Hauts-de-France,Arts plastiques et visuels,Photographie,60,Biennale années paires,09 (septembre),https://www.photaumnales.fr/,GI002,BEAUVAIS,,15,,,,oui,,,,,,,,60000,60057,49.43655233,,,,,,,,,,
SMMMILE - VEGAN POP FESTIVAL,Île-de-France,Musiques actuelles,Musiques amplifiées ou électroniques,75,Annuelle,09 (septembre),http://www.smmmilefestival.com,HD060,PARIS,,3,,,1/1/2016,,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
FESTIVAL HARMONICA AMPOIGNE,Pays de la Loire,Pluridisciplinaire Musique,,53,Annuelle,09 (septembre),https://www.festival-harmonica-ampoigne.com/,LC003,Ampoigne,,3,,,1/1/2016,,,,,,,,,53200,53004,47.80514361,,,,,,,,,,
JUKE'BOSSE,Pays de la Loire,Musiques actuelles,,49,Annuelle,09 (septembre),,LD128,Mazé,,3,,,1/1/2016,,,,,,,,,49630,49194,47.46039504,,,,,,,,,,
FESTIVAL INTERNATIONAL D’ART SACRÉ D’ANTIBES,Provence-Alpes-Côte d'Azur,Musiques classiques,Baroque et ancien,6,,09 (septembre),http://www.antibesjuanlespins.com/fr/evenements/festival-d%E2%80%99art-sacr%C3%A9,ME032,ANTIBES,,,,,,,,,,,,,,6160,6004,43.58746515,,,,,,,,,,
Festival citoyen Ecran Vert,Nouvelle-Aquitaine,Cinéma et audiovisuel,,17,Annuelle,09 (septembre),https://festivalecranvert.fr/,JJ001,LA ROCHELLE,Diverses communes,9,,,1/1/2010,oui,,,,,,,,17000,17300,46.1620644,,,,,,,,,,
FESTIVAL 100% CLASSIQUE,Occitanie,Musiques classiques,,34,Annuelle,09 (septembre),www.festival-centpourcent-classique.fr,KE017,LA GRANDE MOTTE,,4,,,1/1/2015,,,,,,,,,34280,34344,43.56853941,,,,,,,,,,
OUEST PARK FESTIVAL,Normandie,Musiques actuelles,Musiques amplifiées ou électroniques,76,Annuelle,09 (septembre),www.ouestpark.com,ID049,LE HAVRE,,15,,,1/1/2004,,,,oui,,,,,76610,76351,49.4984525,,,,,,,,,,
Festival Via Aeterna,Normandie,Musiques classiques,,50,Annuelle,09 (septembre),www.via-aeterna.com,IE005,Le Mont St Michel,Granville / Avranches / Saint Pair Sur Mer / Pontorson / Carolles / Fleury / Mortain / Breville sur Mer / Genets / Villedieu les Poeles,2,,,1/1/2017,,,,,,,,,50170,50353,48.62221063,,,,,,,,,,
L'AIR D'EN RIRE,Pays de la Loire,Divers Spectacle vivant,Humour,85,Biennale années paires,09 (septembre),www.airdenrire.fr,LH011,ST DENIS LA CHEVASSE,Bouffere / Belleville Sur Vie / Le Poire Sur Vie / La Mothe Achard / Saint Georges de Montaigu,10,,,1/1/2004,,,,,,,,,85170,85208,46.83259593,,,,,,,,,,
ZIKAMETZ,Grand Est,Musiques actuelles,,57,Annuelle,09 (septembre),www.zikamine.com,FD050,METZ,,15,,,1/1/2004,,,,oui,,,,,57070,57463,49.10811333,,,,,,,,,,
L'ILE AUX PERCU SONS,Nouvelle-Aquitaine,Musiques actuelles,,33,Annuelle,09 (septembre),www.olizamba.wixsite.com/olizamba/appel-a-candidature-2018,JD207,CAZAUX,,8,,,1/1/2011,,,,,,,,,33260,33529,44.55618231,,,,,,,,,,
FESTIVAL DE LA RUE DU BIZEOU,Nouvelle-Aquitaine,Musiques actuelles,,40,Annuelle,09 (septembre),https://www.tourismelandes.com,JD218,ARBOUCAVE,,14,,,1/1/2005,,,,,,,,,40320,40005,43.60592616,,,,,,,,,,
L'été au L.I.T.!,Occitanie,Pluridisciplinaire Spectacle vivant,,66,,09 (septembre),http://www.ciegerardgerard.fr/index.php/le-theatre/le-lieu,KB021,Rivesaltes,,,,,,,,,,,,,,66600,66164,42.77859104,,,,,,,,,,
ACCORDEON PLURIEL,Occitanie,Pluridisciplinaire Musique,,34,Annuelle,09 (septembre),www.accordeonpluriel.fr,KC004,MONTPELLIER,,5,,,1/1/2014,,,,,,,,,34080,34172,43.61344091,,,,,,,,,,
NIMES METROPOLE JAZZ FESTIVAL,Occitanie,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MÉDITERRANÉO',Occitanie,Musiques actuelles,Musiques traditionnelles et du monde,31,Annuelle,09 (septembre),www.festivalportet.fr,KD223,PORTET SUR GARONNE,,14,,,1/1/2005,,,,,,,,,31120,31433,43.52939527,,,,,,,,,,
BANC PUBLIC,Bretagne,Pluridisciplinaire Spectacle vivant,,22,Annuelle,09 (septembre),https://www.bancpublic.org,CB002,ST BRIEUC,,4,,,1/1/2015,,,,,,,,,22000,22278,48.51498061,,,,,,,,,,
Grandchamp'Bardement,Pays de la Loire,Cirque et Arts de la rue,Arts de la rue,44,Annuelle,09 (septembre),http://www.grandchampbardement.fr/,LM002,Grandchamp des Fontaines,,16,,,1/1/2003,,,,,,,,,44119,44066,47.36067966,,,,,,,,,,
CARESSEZ LE POTAGER,Provence-Alpes-Côte d'Azur,Pluridisciplinaire Spectacle vivant,,13,,09 (septembre),www.caressezlepotager.net,MB021,MARSEILLE,,,,,,,,,,,,,,13001,13201,43.29990094,,,,,,,,,,
FESTIVAL DESOBEISSANT AU THEATRE DES DEUX ANES,Île-de-France,Divers Spectacle vivant,Humour,75,,09 (septembre),www.2anes.com/festivaldesobeissant,HH030,PARIS,,,,,,,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
LES COREADES,Nouvelle-Aquitaine,Musiques classiques,,79,Annuelle,09 (septembre),www.coream.org,JE028,NIORT,La Rochelle/ Poitiers / Merignac St Georges de D.,24,,,1/1/1995,,,,,,,,,79000,79191,46.32826024,,,,,,,,,,
REG'ARTS,Auvergne-Rhône-Alpes,Pluridisciplinaire Spectacle vivant,,73,Annuelle,09 (septembre),www.zicomatic.net,AB036,BARBERAZ,La Ravoire,8,,,1/1/2011,,,,,,,,,73000,73029,45.55205969,,,,,,,,,,
DETONATION,Bourgogne-Franche-Comté,Musiques actuelles,Musiques amplifiées ou électroniques,25,Annuelle,09 (septembre),www.larodia.fr,BD026,BESANCON,,7,,,1/1/2012,,,,oui,,,,,25000,25056,47.25538722,,,,,,,,,,
FESTIVAL CINECOMEDIES,Hauts-de-France,Cinéma et audiovisuel,,59,,09 (septembre),www.cinecomedies.com,GJ016,LILLE,,1,,,1/1/2018,,,,,,,,,59160,59350,50.63171832,,,,,,,,,,
Label Rue,Occitanie,Cirque et Arts de la rue,Arts de la rue,30,Annuelle,09 (septembre),www.labelrue.fr/,KM007,RODILHAN,,7,,,1/1/2012,,,,,,,,,30230,30356,43.82550394,,,,,,,,,,
GAFFER FESTIVAL,Auvergne-Rhône-Alpes,Musiques actuelles,Musiques amplifiées ou électroniques,69,Annuelle,09 (septembre),http://www.gafferfest.com,AD166,LYON,,8,,,1/1/2011,,,,,,,,,69001,69381,45.76992844,,,,,,,,,,
FESTIVAL JACQUES BREL,Bourgogne-Franche-Comté,Musiques actuelles,Chanson,70,Annuelle,09 (septembre),www.theatre-edwige-feuillere.fr,BD053,VESOUL,,18,,,1/1/2001,,,,,,,,,70000,70550,47.63204086,,,,,,,,,,
FESTIVAL EUROPEEN DE MUSIQUE RENAISSANCE,Centre-Val de Loire,Musiques classiques,Baroque et ancien,37,Annuelle,09 (septembre),www.vinci-closluce.com,DE005,AMBOISE,,13,,,1/1/2006,,,,,,,,,37400,37003,47.39172377,,,,,,,,,,
FESTIVAL MUSE & PIANO,Hauts-de-France,Musiques classiques,,62,Annuelle,09 (septembre),www.louvrelens.fr/activity/muse-piano,GE011,LENS,,3,,,1/1/2016,,,,,,,,,62300,62498,50.43742641,,,,,,,,,,
JAZZ METIS A MONTREUIL,Île-de-France,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FESTIVAL DE LANVELLEC,Bretagne,Musiques classiques,Baroque et ancien,22,,09 (septembre),www.festival-lanvellec.fr,CE004,LANVELLEC,Perros Guirec / Pluzunet / Plestin Les Greves / Lannion / Loguivy de la Mer / Plouaret / Treguier / Guingamp,32,,,,,,,,,,,,22420,22119,48.60727697,,,,,,,,,,
Fête des vendanges,Île-de-France,Cirque et Arts de la rue,Arts de la rue,92,,09 (septembre),http://bagneux92.fr,HM009,BAGNEUX,,,,,,,,,,,,,,92220,92007,48.79832299,,,,,,,,,,
VOIX CROISEES,Occitanie,Pluridisciplinaire Musique,,31,Annuelle,09 (septembre),www.festivalvoixcroisees.com,KC005,ESCALQUENS,,12,,,1/1/2007,,,,,,,,,31750,31169,43.52091259,,,,,,,,,,
FÈS JAZZ IN RIAD FESTIVAL,Île-de-France,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL CEP,Pays de la Loire,Musiques actuelles,,44,,09 (septembre),,LD017,LA GRIGONNAIS,,,,,,,,,,,,,,44170,44224,47.51784415,,,,,,,,,,
FESTI'VAL DE MARNE,Île-de-France,Musiques actuelles,Musiques amplifiées ou électroniques,94,Annuelle,10 (octobre),www.festivaldemarne.org,HD178,IVRY SUR SEINE,Arcueil (94)  /  Charenton Le Pont (94)  /  Cachan (94)  /  Gentilly (94)  /  Vitry Sur Seine (94) /  Villejuif (94)  /  Alfortville (94)  /  Vincennes (94)  / Rungis (94)  /  Choisy Le Roi (94)  /  Sucy en Brie (94)  / Ablon sur Seine (94)  /  Chevilly Larue (94)  /  Fontenay Sous Bois (94)  /  Creteil (94)  /  Maisons Alfort (94)  / Villeneuve Saint Georges (94)  /  Saint Maurice (94)  / Fresnes (94)  /  Orly (94)  /  Champigny Sur Marne (94)  / Villiers Sur Marne (94)  /  L'Hay Les Roses (94)  /  Nogent Sur Marne (94),32,,,1/1/1987,,,,,,,,,94200,94041,48.81280638,,,,,,,,,,
LE GRAND SOUFFLET,Bretagne,Musiques actuelles,Musiques traditionnelles et du monde,35,Annuelle,10 (octobre),www.legrandsoufflet.fr,CD180,Chartres de Bretagne,Bruz (35)  /  Chateaugiron (35)  /  Redon (35)  /  La Bouexiere (35)  /  Fougeres (35)  /  Domloup (35)  /  Orgeres (35)  /  Eance (35)  /  La Chapelle de Brain (35)  /  Pace (35)  /  Montfort sur Meu (35)  /  Montours (35)  /  Parce (35)  /  Saint Lunaire (35)  /  Chantepie (35) /  Bazouges La Perouse (35)  /  Liffre (35)  /  Vitre (35)  / Pont Pean (35)  /  Maure de Bretagne (35),23,,,1/1/1996,,,,oui,,,,,35131,35066,48.04515617,,,,,,,,,,
ORIGINES CONTROLEES,Occitanie,Musiques actuelles,Musiques traditionnelles et du monde,31,Annuelle,10 (octobre),www.tactikollectif.org,KD240,TOULOUSE,,15,,,1/1/2004,,,,,,,,,31300,31555,43.59638143,,,,,,,,,,
LES AUTOMNALES DU PUY DE DOME,Auvergne-Rhône-Alpes,Pluridisciplinaire Spectacle vivant,,63,Annuelle,10 (octobre),www.festival.puy-de-dome.fr,AB042,CLERMONT FERRAND,19 communes du Puy-de-Dôme,24,,,1/1/1995,,,,,,,,,63100,63113,45.7856493,,,,,,,,,,
COURANT D'AIRS BORDEAUX,Nouvelle-Aquitaine,Musiques actuelles,Chanson,33,Annuelle,10 (octobre),http://www.bordeaux-chanson.org,JD072,BORDEAUX,,15,,,1/1/2004,,,,,,,,,33000,33063,44.85724454,,,,,,,,,,
FESTIVAL MAINTENANT,Bretagne,Transdisciplinaire,,35,Annuelle,10 (octobre),https://www.maintenant-festival.fr/2018/,CA002,RENNES,Pacé,,,,,,,,,,,,,,,,,,,,,,,,,
A TEMPO,Occitanie,Musiques classiques,,81,Annuelle,10 (octobre),www.a-tempo.fr,KE022,Lavaur,,9,,,1/1/2010,,,,,,,,,81500,81140,43.68956287,,,,,,,,,,
SALON DE LA GUITARE A COLMAR,Grand Est,Musiques actuelles,,68,Annuelle,10 (octobre),https://www.guitarmaniaks.org/,FD118,COLMAR,,14,,,1/1/2005,,,,,,,,,68000,68066,48.10994058,,,,,,,,,,
Festival Cirko Galop,Grand Est,Cirque et Arts de la rue,Cirque,51,,10 (octobre),https://www.facebook.com/events/687941388213851/,FM006,MUIZON,,,,,,,,,,,,,,51140,51391,49.27243832,,,,,,,,,,
CARREMENT A L'OUEST,Provence-Alpes-Côte d'Azur,Cirque et Arts de la rue,Arts de la rue,13,Annuelle,10 (octobre),http://lecitronjaune.com/carrement-a-louest/,MM022,PORT ST LOUIS DU RHONE,,10,,,1/1/2009,,,,,,,,,13230,13078,43.41481937,,,,,,,,,,
Festival Courant 3D,Nouvelle-Aquitaine,Cinéma et audiovisuel,,16,Annuelle,10 (octobre),http://www.courant3d-filmfest.com/fr/accueil/,JJ003,ANGOULEME,,6,,,1/1/2013,oui,oui,,,,,,,16000,16015,45.64725851,,,,,,,,,,
KARAVEL,Auvergne-Rhône-Alpes,Danse,Danses urbaines,69,Annuelle,10 (octobre),www.festivalkaravel.com,AF004,BRON,,12,,,1/1/2007,,,,,,,,,69500,69029,45.73448569,,,,,,,,,,
Belles latinas,Auvergne-Rhône-Alpes,Livre et littérature,Littératures étrangères,69,Annuelle,10 (octobre),http://www.espaces-latinos.org,AK002,LYON,,17,,,1/1/2002,,,oui,,,,,,69001,69381,45.76992844,,,,,,,,,,
Nancy Jazz Pulsations,Grand Est,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECIBELS VENDANGES,Île-de-France,Musiques actuelles,,75,Annuelle,10 (octobre),www.fetedesvendangesdemontmartre.com/evenement/decibels-vendanges,HD220,PARIS,,1,,,1/1/2018,,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
LES HIVERNALES DU FESTIVAL D'ANJOU,Pays de la Loire,Théâtre,,49,Annuelle,10 (octobre),www.festivaldanjou.com/hivernales,LG004,ANGERS,,1,,,1/1/2018,,,,,,,,,49000,49007,47.47683742,,,,,,,,,,
RADE SIDE,Provence-Alpes-Côte d'Azur,Musiques actuelles,,83,Annuelle,10 (octobre),www.radeside.com,MD180,TOULON,,4,,,1/1/2015,,,,,,,,,83200,83137,43.13615897,,,,,,,,,,
R.O.N FESTIVAL,Île-de-France,Pluridisciplinaire Spectacle vivant,Danses et musiques urbaines,75,Annuelle,10 (octobre),https://readyornot.fr/events-ron-festival/,HB028,PARIS,,,,,,,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
JAZZ SUR SEINE,Île-de-France,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FESTIVAL DE GUITARE DE PUTEAUX,Île-de-France,Musiques actuelles,,92,Annuelle,10 (octobre),http://www.puteaux.fr/Agenda/Festival-Guitare-2018,HD225,PUTEAUX,,2,,,1/1/2017,,,,,,,,,92800,92062,48.8837095,,,,,,,,,,
AUTOMNE MUSICAL DU VESINET,Île-de-France,Musiques classiques,,78,Annuelle,10 (octobre),www.automnemusicalduvesinet.fr,HE019,LE VESINET,,4,,,1/1/2015,,,,,,,,,78110,78650,48.89386406,,,,,,,,,,
LE PRESSOIR,Nouvelle-Aquitaine,Cirque et Arts de la rue,Arts de la rue,33,Annuelle,10 (octobre),www.acrocsproductions.com,JM025,TARGON,,9,,,1/1/2010,,,,,,,,,33760,33523,44.73454105,,,,,,,,,,
RIAM - FESTIVAL FOR UNLIMITED ART & MUSIC,Provence-Alpes-Côte d'Azur,Musiques actuelles,Musiques amplifiées ou électroniques,13,Annuelle,10 (octobre),http://www.riam.info,MD078,MARSEILLE,,11,,,1/1/2008,,,,,,,,,13001,13201,43.29990094,,,,,,,,,,
Festival international des écrits de femmes,Bourgogne-Franche-Comté,Livre et littérature,,89,Annuelle,10 (octobre),http://ecritsdefemmes.fr/,BK002,St  SAUVEUR EN PUISAYE,,7,,,1/1/2012,,,,,,,,,89520,89368,47.6390793,,,,,,,,,,
FESTIVAL DES EMPREINTES SONORES,Auvergne-Rhône-Alpes,Pluridisciplinaire Musique,,74,Annuelle,10 (octobre),www.terresdempreintes.com,AC008,ANNECY,Veyrier-du-Lac / Sevrier,8,,,1/1/2011,,,,,,,,,74000,74010,45.89064326,,,,,,,,,,
FESTIVAL GRENAD'IN,Occitanie,Musiques actuelles,Musiques amplifiées ou électroniques,31,Annuelle,10 (octobre),https://fr-fr.facebook.com/grenadin.schoolfest/,KD071,GRENADE,,16,,,1/1/2003,,,,,,,,,31330,31232,43.76405078,,,,,,,,,,
MARMAILLE,Bretagne,Pluridisciplinaire Spectacle vivant,Jeune public,35,Annuelle,10 (octobre),www.lillicojeunepublic.fr,CH031,RENNES,,26,,,1/1/1993,,,,,,,,,35700,35238,48.11197912,,,,,,,,,,
FESTIVAL DU RIRE A SAINT RAPHAEL,Provence-Alpes-Côte d'Azur,Divers Spectacle vivant,Humour,83,Annuelle,10 (octobre),http://www.saint-raphael.com,MH038,ST RAPHAEL,,15,,,1/1/2004,,,,,,,,,83700,83118,43.45746254,,,,,,,,,,
FESTIVAL DU RIRE DE VERVINS,Hauts-de-France,Divers Spectacle vivant,Humour,2,Annuelle,10 (octobre),http://www.divan-production.com,GH020,VERVINS,,17,,,1/1/2002,,,,,,,,,2140,2789,49.83517987,,,,,,,,,,
MaMA,Île-de-France,Musiques actuelles,,75,Annuelle,10 (octobre),www.mamafestival.com,HD013,PARIS,,10,,,1/1/2009,oui,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
FIAC (Foire internationale d'art contemporain),Île-de-France,Arts plastiques et visuels,,75,Annuelle,10 (octobre),http://www.fiac.com/,HI005,PARIS,,45,,,1/1/1974,,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
OSE(Z) LA DANSE (ex HIP HOP & CO),Nouvelle-Aquitaine,Danse,Danses urbaines,86,Annuelle,10 (octobre),www.m3q.centres-sociaux.fr/?page_id=738,JF009,POITIERS,,21,,,1/1/1998,,,,,,,,,86000,86194,46.58392077,,,,,,,,,,
LES NUITS COURTES,Pays de la Loire,Musiques actuelles,,85,Annuelle,10 (octobre),http://www.lesnuitscourtes.com,LD125,Fontenay Le Comte,,2,,,1/1/2017,,,,,,,,,85200,85092,46.45631861,,,,,,,,,,
MUS'ITERRANEE,Provence-Alpes-Côte d'Azur,Musiques actuelles,Musiques traditionnelles et du monde,13,Annuelle,10 (octobre),www.laboiteamus.com,MD185,AIX EN PROVENCE,,9,,,1/1/2010,,,,,,,,,13290,13001,43.53607084,,,,,,,,,,
FESTIVAL AQUI CUBA,Bretagne,Musiques actuelles,Musiques traditionnelles et du monde,35,Annuelle,10 (octobre),http://www.aquicuba.fr/,CD013,RENNES,,16,,,1/1/2003,,,,,,,,,35700,35238,48.11197912,,,,,,,,,,
BULLY ON ROCKS,Hauts-de-France,Musiques actuelles,Musiques amplifiées ou électroniques,62,Annuelle,10 (octobre),www.bullyonrocks.fr,GD109,Bully Les Mines,,6,,,1/1/2013,,,,,,,,,62160,62186,50.44511316,,,,,,,,,,
GRANDS ZYEUX PTITES ZOREILLES,Occitanie,Transdisciplinaire,Lecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COSMIC GROOVE,Occitanie,Musiques actuelles,,34,Annuelle,10 (octobre),http://www.cosmicgroove.fr/,KD140,MONTPELLIER,,1,,,1/1/2018,,,,,,,,,34080,34172,43.61344091,,,,,,,,,,
SISMIC HIP HOP FESTIVAL,Auvergne-Rhône-Alpes,Musiques actuelles,Musiques amplifiées ou électroniques,63,Annuelle,10 (octobre),http://www.lacoope.org,AD303,CLERMONT FERRAND,,4,,,1/1/2015,,,,,,,,,63100,63113,45.7856493,,,,,,,,,,
Les Nuits de Champagne,Grand Est,Musiques actuelles,Musiques amplifiées ou électroniques,10,Annuelle,10 (octobre),www.nuitsdechampagne.com,FD010,TROYES,Saint Andre Les Vergers (10),31,,,1/1/1988,,,,,,,,,10000,10387,48.29670996,,,,,,,,,,
LES BERNIQUES EN FOLIE,Pays de la Loire,Musiques actuelles,,85,Annuelle,10 (octobre),http://lesberniquesenfolie.fr/,LD005,Ile d'Yeu,Diverses communes,19,,,1/1/2000,,,,,,,,,85350,85113,46.70935148,,,,,,,,,,
Festival du Film Politique de Porto-Vecchio,Corse,Cinéma et audiovisuel,,20,Annuelle,10 (octobre),http://www.festivaldufilmpolitique.com/,EJ007,Porto Vecchio,,2,,,1/1/2017,,,,,,,,,20137,2A247,41.59249329,,,,,,,,,,
O LES CHŒURS Tulle,Nouvelle-Aquitaine,Musiques actuelles,,19,Annuelle,10 (octobre),https://elizabethmydear.fr/,JD232,TULLE,Brive (20),22,,,1/1/1997,,,,,,,,,19000,19272,45.2731517,,,,,,,,,,
GUITARE ACOUSTIQUE A NICE,Provence-Alpes-Côte d'Azur,Musiques actuelles,,6,Annuelle,10 (octobre),http://www.espacemagnan.com/,MD191,NICE,,19,,,1/1/2000,,,,,,,,,6100,6088,43.71199927,,,,,,,,,,
MUSIK FABRIK - XERPILS FESTIVAL,Grand Est,Musiques actuelles,,88,Annuelle,10 (octobre),www.musikfabrik.fr,FD121,Xertigny,,3,,,1/1/2016,,,,,,,,,88220,88530,48.03871212,,,,,,,,,,
Pariscience – Festival International du Film Scientifique,Île-de-France,Cinéma et audiovisuel,,75,Annuelle,10 (octobre),www.pariscience.fr,HJ011,PARIS,,14,,,1/1/2005,,oui,,,,,,,75001,75101,48.86263049,,,,,,,,,,
MUSIQUES VOLANTES,Grand Est,Musiques actuelles,,54,Annuelle,10 (octobre),www.musiques-volantes.org,FD100,NANCY,Metz (57),23,,,1/1/1996,,,,,,,,,54000,54395,48.69019955,,,,,,,,,,
ARTETANGO,Occitanie,Pluridisciplinaire Spectacle vivant,Danse et musique,81,Annuelle,10 (octobre),www.artetango-festival.com,KB032,ALBI,,11,,,1/1/2008,,,,,,,,,81000,81004,43.92582136,,,,,,,,,,
PITCHFORK AVANT GARDE,Île-de-France,Musiques actuelles,,75,Annuelle,10 (octobre),https://pitchforkmusicfestival.fr/pitchfork-avant-garde/,HD235,PARIS,,3,,,1/1/2016,,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
LES PRIMEURS DE MASSY,Île-de-France,Musiques actuelles,,91,Annuelle,10 (octobre),www.primeurs-massy.com,HD128,MASSY,,21,,,1/1/1998,,,,oui,,,,,91300,91377,48.72778964,,,,,,,,,,
FIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Festival International du film de Saint-Jean-de-Luz,Nouvelle-Aquitaine,Cinéma et audiovisuel,,64,Annuelle,10 (octobre),www.fifsaintjeandeluz.com,JJ024,ST Jean de Luz,,5,,,1/1/2014,,oui,,,,,,,64500,64483,43.39478869,,,,,,,,,,
Biennale Selest'Art,Grand Est,Arts plastiques et visuels,,67,Biennale années impaires,10 (octobre),https://www.selestat.fr/,FI005,SELESTAT,,,,,,oui,,,,,,,,67600,67462,48.24811363,,,,,,,,,,
MUSIQUES LIBRES,Bourgogne-Franche-Comté,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITCHFORK MUSIC FESTIVAL,Île-de-France,Musiques actuelles,,75,Annuelle,11 (novembre),www.pitchforkmusicfestival.fr/,HD212,PARIS,,8,,,1/1/2011,,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
JAZZ A GRIGNAN,Auvergne-Rhône-Alpes,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY CAR BLUES,Hauts-de-France,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUP D'PARQUET,Pays de la Loire,Musiques actuelles,Musiques traditionnelles et du monde,72,Annuelle,11 (novembre),www.assoparceque5.wixsite.com/parceque/coup-d-parquet,LD143,MAMERS,,5,,,1/1/2014,,,,,,,,,72600,72180,48.35453132,,,,,,,,,,
Festival International du conte Paul Henri Gérard,Guyane,Divers Spectacle vivant,Conte,973,,11 (novembre),https://zigzagprod.fr/,OH001,MANA,,,,,,oui,,,,,,,,97360,97306,4.982857479,,,,,,,,,,
Rencontres du cinéma francophone en Beaujolais,Auvergne-Rhône-Alpes,Cinéma et audiovisuel,,69,Annuelle,11 (novembre),http://rencontrescinemavillefranche.blogspot.com/,AJ009,VILLEFRANCHE SUR SAONE,,23,,,1/1/1996,oui,,,,,,,,69400,69264,45.98745967,,,,,,,,,,
Rencontres Cinématographiques de Dijon,Bourgogne-Franche-Comté,Cinéma et audiovisuel,,21,,11 (novembre),www.rencontres-cinematographiques-de-dijon.fr,BJ005,DIJON,,,,,1/1/1993,,,,,,,,,21000,21231,47.3229438,,,,,,,,,,
Festival Les Instants Vidéo,Provence-Alpes-Côte d'Azur,Transdisciplinaire,Création numérique,13,Annuelle,11 (novembre),www.instantsvideo.com,MA006,MARSEILLE,,31,,,1/1/1988,oui,,,,oui,,,,13001,13201,43.29990094,,,,,,,,,,
JAZZ AUX CARRÉS,Auvergne-Rhône-Alpes,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FESTIVAL EMERGENCES,Centre-Val de Loire,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONTE LE SON,Île-de-France,Musiques actuelles,,75,,11 (novembre),www.paris-bibliotheques.org,HD216,PARIS,,,,,,,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
Festival du film italien d'Ajaccio,Corse,Cinéma et audiovisuel,Cinémas étrangers,20,Annuelle,11 (novembre),https://www.iffa.corsica/,EJ006,AJACCIO,,20,,,1/1/1999,,,,,,,,,20167,2A004,41.93479266,,,,,,,,,,
JAZZDOR,Grand Est,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIANO AU MUSEE WURTH,Grand Est,Musiques classiques,,67,Annuelle,11 (novembre),www.musee-wurth.fr/activites-evenements/piano-au-musee-wurth,FE011,ERSTEIN,,3,,,1/1/2016,,,,,,,,,67150,67130,48.42136879,,,,,,,,,,
JAZZ AU FIL DE L'OISE,Île-de-France,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAZZ À CAUDÉRAN,Nouvelle-Aquitaine,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
